what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448705773960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448705796965
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448705818800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448705830809
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448705832727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1448705848077
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448705851339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448705969062
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448705991889
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448705997272
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1448706005799
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1448706027919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448706034324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448706215246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1448706230712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1448706244417
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1448706248381
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1448706337644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1448706356092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1448706356492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1448706356855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1448706411604
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1448706414073
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448706419780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448706420028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1448706442516
